거래일,종목코드,종목명,시장구분,시가,고가,저가,종가,거래량
20250319,218150,미래생명자원,KOSDAQ,4015,4030,3975,4025,200522
20250319,307930,컴퍼니케이,KOSDAQ,5200,5260,5160,5260,45269
20250319,418420,라온텍,KOSDAQ,2785,2875,2720,2725,53928
20250319,036090,위지트,KOSDAQ,704,704,692,692,584265
20250319,383930,디티앤씨알오,KOSDAQ,6630,6740,6350,6400,716031
20250319,222810,세토피아,KOSDAQ,5400,5400,5400,5400,0
20250319,004650,창해에탄올,KOSDAQ,8910,8910,8860,8890,7626
20250319,098120,마이크로컨텍솔,KOSDAQ,9700,10160,9540,9810,250066
20250319,074430,아미노로직스,KOSDAQ,921,935,917,928,51273
20250319,043650,국순당,KOSDAQ,4560,4560,4505,4545,7437
20250319,186230,그린플러스,KOSDAQ,7550,7590,7440,7500,14821
20250319,038680,에스넷,KOSDAQ,4115,4230,4090,4150,45747
20250319,039020,이건홀딩스,KOSDAQ,3650,3690,3575,3590,42264
20250319,036640,HRS,KOSDAQ,4945,4955,4920,4945,11572
20250319,024740,한일단조,KOSDAQ,2545,2600,2435,2455,2777832
20250319,153710,옵티팜,KOSDAQ,5510,5640,5400,5490,1838
20250319,250060,모비스,KOSDAQ,2490,2530,2480,2500,89987
20250319,241840,에이스토리,KOSDAQ,8310,8460,8210,8420,23662
20250319,307180,아이엘사이언스,KOSDAQ,3010,3080,2800,2970,308568
20250319,032850,비트컴퓨터,KOSDAQ,4845,4875,4815,4825,54572
20250319,007370,진양제약,KOSDAQ,6130,6180,6070,6160,46965
20250319,123420,위메이드플레이,KOSDAQ,7020,7580,6910,6980,113449
20250319,078860,엔에스이엔엠,KOSDAQ,1570,1570,1340,1470,1012502
20250319,265560,영화테크,KOSDAQ,7460,7510,7370,7460,9772
20250319,294140,레몬,KOSDAQ,3440,3895,3440,3795,216677
20250319,215100,로보로보,KOSDAQ,4015,4030,3900,3910,143166
20250319,222160,NPX,KOSDAQ,8040,8040,8040,8040,0
20250319,128660,피제이메탈,KOSDAQ,3235,3235,3180,3205,182368
20250319,036010,아비코전자,KOSDAQ,5860,6030,5800,5960,82383
20250319,011370,서한,KOSDAQ,783,786,778,785,67118
20250319,104540,코렌텍,KOSDAQ,6140,6440,6000,6190,25183
20250319,460870,에스엠씨지,KOSDAQ,4465,4700,4265,4295,4797971
20250319,002800,신신제약,KOSDAQ,5200,5250,5160,5210,71254
20250319,054920,한컴위드,KOSDAQ,2775,2830,2775,2800,28083
20250319,033830,티비씨,KOSDAQ,795,796,783,790,60283
20250319,369370,블리츠웨이스튜디오,KOSDAQ,1579,1595,1555,1584,20645
20250319,064850,에프앤가이드,KOSDAQ,6990,7020,6920,6920,6339
20250319,020710,시공테크,KOSDAQ,4010,4015,3900,3930,54293
20250319,219550,디와이디,KOSDAQ,643,661,620,631,1565289
20250319,038460,바이오스마트,KOSDAQ,3010,3030,2990,3010,59834
20250319,090470,제이스텍,KOSDAQ,4605,4655,4470,4505,34825
20250319,094850,참좋은여행,KOSDAQ,5610,5690,5580,5620,27279
20250319,066790,씨씨에스,KOSDAQ,1200,1209,1182,1206,512738
20250319,442900,미래에셋드림스팩1호,KOSDAQ,10190,10220,10190,10200,434
20250319,261780,차백신연구소,KOSDAQ,2935,2950,2905,2920,19689
20250319,053260,금강철강,KOSDAQ,4155,4240,4135,4180,14987
20250319,291230,엔피,KOSDAQ,1787,1787,1763,1774,72028
20250319,361570,알비더블유,KOSDAQ,2740,2820,2685,2715,62896
20250319,012790,신일제약,KOSDAQ,6450,6510,6450,6510,13685
20250319,097800,윈팩,KOSDAQ,665,672,659,663,791173
20250319,440320,오픈놀,KOSDAQ,8000,8210,7840,7870,110933
20250319,041520,이엘씨,KOSDAQ,6400,6460,6310,6310,7122
20250319,187870,디바이스이엔지,KOSDAQ,10930,11100,10920,10920,7192
20250319,104620,노랑풍선,KOSDAQ,4800,4940,4800,4850,16964
20250319,314130,지놈앤컴퍼니,KOSDAQ,2345,2530,2340,2470,147805
20250319,187660,현대ADM,KOSDAQ,1845,1908,1786,1786,653963
20250319,198440,강동씨앤엘,KOSDAQ,1264,1266,1250,1260,23303
20250319,465480,인스피언,KOSDAQ,7760,7760,7510,7560,29188
20250319,036710,심텍홀딩스,KOSDAQ,1535,1589,1496,1571,206221
20250319,263600,덕우전자,KOSDAQ,4845,4925,4795,4800,29740
20250319,389140,포바이포,KOSDAQ,7280,7280,6750,6880,354332
20250319,417970,모델솔루션,KOSDAQ,12000,12080,11750,11950,20463
20250319,348350,위드텍,KOSDAQ,7350,7590,7310,7500,12222
20250319,115440,우리넷,KOSDAQ,7100,7160,7000,7070,62237
20250319,474610,RF시스템즈,KOSDAQ,5870,6500,5860,5900,5786214
20250319,054040,한국컴퓨터,KOSDAQ,4735,4780,4695,4720,24191
20250319,464280,티디에스팜,KOSDAQ,14100,14100,13670,13700,56755
20250319,067290,JW신약,KOSDAQ,1422,1425,1402,1416,87042
20250319,002230,피에스텍,KOSDAQ,3910,3910,3885,3900,1108
20250319,067370,선바이오,KOSDAQ,6110,6150,6000,6130,2660
20250319,340930,유일에너테크,KOSDAQ,2155,2325,2115,2200,878025
20250319,052790,액토즈소프트,KOSDAQ,6690,6690,6590,6630,12536
20250319,460470,아이빔테크놀로지,KOSDAQ,4980,5080,4940,4980,112082
20250319,059120,아진엑스텍,KOSDAQ,8030,8030,7670,7700,43610
20250319,024840,KBI메탈,KOSDAQ,2090,2175,2050,2150,911503
20250319,317690,퀀타매트릭스,KOSDAQ,4430,4430,4230,4270,90919
20250319,262260,에이프로,KOSDAQ,5150,5280,5120,5180,29335
20250319,036120,SCI평가정보,KOSDAQ,2135,2135,2105,2110,35899
20250319,088390,이녹스,KOSDAQ,8060,8160,7710,7980,7744
20250319,065130,탑엔지니어링,KOSDAQ,4420,4480,4310,4355,7228
20250319,039830,오로라,KOSDAQ,7020,7050,6900,6940,21926
20250319,222040,코스맥스엔비티,KOSDAQ,3590,3685,3540,3620,54203
20250319,241690,유니테크노,KOSDAQ,3145,3160,3050,3050,187858
20250319,101170,우림피티에스,KOSDAQ,5690,5830,5420,5520,156492
20250319,049550,잉크테크,KOSDAQ,3765,3790,3725,3785,26623
20250319,109860,동일금속,KOSDAQ,8140,8300,8120,8140,4042
20250319,299660,셀리드,KOSDAQ,3425,3700,3400,3510,861416
20250319,388790,라이콤,KOSDAQ,2495,2515,2440,2475,118884
20250319,204840,지엘팜텍,KOSDAQ,986,986,950,961,89355
20250319,420570,제이투케이바이오,KOSDAQ,13020,13310,12680,12890,67171
20250319,457370,한켐,KOSDAQ,9190,9290,9020,9200,31985
20250319,049480,오픈베이스,KOSDAQ,2380,2380,2335,2350,67243
20250319,101330,모베이스,KOSDAQ,3120,3245,3115,3190,146722
20250319,263800,데이타솔루션,KOSDAQ,4585,4635,4525,4550,28253
20250319,317850,대모,KOSDAQ,9210,9210,8790,8810,120097
20250319,081150,티플랙스,KOSDAQ,3100,3105,3005,3015,331443
20250319,347000,센코,KOSDAQ,2210,2240,2190,2215,35941
20250319,237820,플레이디,KOSDAQ,5620,5760,5620,5690,65950
20250319,352700,씨앤투스,KOSDAQ,2610,2775,2590,2675,84767
20250319,059270,해성에어로보틱스,KOSDAQ,6720,6720,6300,6540,100547
20250319,130580,나이스디앤비,KOSDAQ,4690,4720,4675,4720,4916
20250319,317530,캐리소프트,KOSDAQ,6850,7360,6830,7240,76344
20250319,217190,제너셈,KOSDAQ,8180,8500,8140,8280,42328
20250319,036670,KCI,KOSDAQ,6450,6480,6360,6440,12752
20250319,363250,진시스템,KOSDAQ,10450,10560,10170,10290,22266
20250319,037440,희림,KOSDAQ,5320,5350,5180,5180,144044
20250319,117670,알파홀딩스,KOSDAQ,1195,1195,1150,1174,124193
20250319,289080,SV인베스트먼트,KOSDAQ,1368,1372,1337,1337,97452
20250319,294630,서남,KOSDAQ,3025,3050,2985,3000,153621
20250319,330730,스톤브릿지벤처스,KOSDAQ,3970,3985,3925,3945,34008
20250319,127980,화인써키트,KOSDAQ,6110,6110,5990,6020,3742
20250319,033310,엠투엔,KOSDAQ,1775,1775,1752,1760,25133
20250319,950200,소마젠,KOSDAQ,3675,3687,3655,3675,14551
20250319,027580,상보,KOSDAQ,1212,1218,1188,1190,600446
20250319,391710,코닉오토메이션,KOSDAQ,1710,1749,1674,1674,69610
20250319,357880,SKAI,KOSDAQ,2470,2500,2070,2075,1473717
20250319,357580,아모센스,KOSDAQ,6300,6410,6230,6270,8354
20250319,251630,브이원텍,KOSDAQ,4475,4515,4360,4410,17610
20250319,159010,아스플로,KOSDAQ,5250,5350,5180,5270,37458
20250319,189980,흥국에프엔비,KOSDAQ,1752,1761,1740,1748,30381
20250319,246720,아스타,KOSDAQ,5200,5220,5090,5170,3813
20250319,015710,코콤,KOSDAQ,4015,4035,3985,4000,23799
20250319,044060,조광ILI,KOSDAQ,732,732,732,732,0
20250319,212560,네오오토,KOSDAQ,8560,8970,8410,8880,53926
20250319,320000,한울반도체,KOSDAQ,2450,2500,2420,2500,18234
20250319,072990,에이치시티,KOSDAQ,9500,9600,9370,9580,19207
20250319,090410,덕신이피씨,KOSDAQ,1522,1532,1509,1514,119744
20250319,203690,아크솔루션스,KOSDAQ,4425,4425,4425,4425,0
20250319,073640,테라사이언스,KOSDAQ,654,654,654,654,0
20250319,256630,포인트엔지니어링,KOSDAQ,1200,1220,1190,1197,6222
20250319,032940,원익,KOSDAQ,3845,3910,3790,3815,164430
20250319,024800,유성티엔에스,KOSDAQ,1875,1875,1850,1869,11766
20250319,042110,에스씨디,KOSDAQ,1427,1436,1420,1432,37258
20250319,234100,폴라리스세원,KOSDAQ,1064,1064,1047,1056,73677
20250319,066130,하츠,KOSDAQ,5350,5400,5350,5400,35537
20250319,033170,시그네틱스,KOSDAQ,804,810,796,804,310396
20250319,223250,드림씨아이에스,KOSDAQ,2790,2890,2790,2880,74141
20250319,462510,라메디텍,KOSDAQ,7950,8070,7830,7920,21856
20250319,009730,이렘,KOSDAQ,1116,1134,1111,1123,292390
20250319,185490,아이진,KOSDAQ,2545,2545,2520,2530,11574
20250319,017480,삼현철강,KOSDAQ,4355,4360,4330,4350,4557
20250319,065530,와이어블,KOSDAQ,1288,1289,1277,1289,11286
20250319,043260,성호전자,KOSDAQ,1125,1130,1107,1115,373396
20250319,450330,하스,KOSDAQ,8930,8930,8610,8680,49855
20250319,094840,슈프리마에이치큐,KOSDAQ,6600,6690,6470,6470,45922
20250319,466410,사이냅소프트,KOSDAQ,13550,13620,13160,13430,16040
20250319,054540,삼영엠텍,KOSDAQ,5320,5330,5120,5190,201329
20250319,011320,유니크,KOSDAQ,3490,3490,3470,3490,15427
20250319,208860,엔지스테크널러지,KOSDAQ,2205,2205,2205,2205,0
20250319,024830,세원물산,KOSDAQ,8260,8310,7880,8060,37942
20250319,236810,엔비티,KOSDAQ,3320,3955,3220,3955,3022052
20250319,250000,보라티알,KOSDAQ,9890,9990,9780,9940,22195
20250319,210120,캔버스엔,KOSDAQ,2945,3010,2830,2845,173542
20250319,045340,토탈소프트,KOSDAQ,8680,8740,7800,7830,225753
20250319,196300,애니젠,KOSDAQ,10990,11920,10250,11110,552617
20250319,097780,에코볼트,KOSDAQ,970,995,970,983,92582
20250319,064240,홈캐스트,KOSDAQ,1891,1928,1880,1900,84134
20250319,046120,오르비텍,KOSDAQ,2415,2460,2370,2425,97288
20250319,053160,프리엠스,KOSDAQ,11500,11680,11090,11090,50706
20250319,101000,KS인더스트리,KOSDAQ,2215,2215,2125,2170,132023
20250319,054930,유신,KOSDAQ,22300,22750,22050,22100,15186
20250319,340360,다보링크,KOSDAQ,1409,1531,1341,1507,1414207
20250319,347740,피엔케이피부임상연구센타,KOSDAQ,2210,2230,2180,2200,31754
20250319,155650,와이엠씨,KOSDAQ,3395,3420,3375,3390,3091
20250319,105760,포스뱅크,KOSDAQ,6940,7010,6660,6830,437593
20250319,363260,모비데이즈,KOSDAQ,2040,2085,2015,2045,305917
20250319,206400,베노티앤알,KOSDAQ,1648,1863,1632,1750,616007
20250319,377030,비트맥스,KOSDAQ,1849,1849,1730,1757,249333
20250319,032540,TJ미디어,KOSDAQ,4700,4750,4685,4695,6174
20250319,095270,웨이브일렉트로,KOSDAQ,4500,4700,4335,4360,20755
20250319,239890,피엔에이치테크,KOSDAQ,6550,6780,6500,6560,77347
20250319,403490,우듬지팜,KOSDAQ,1457,1464,1436,1440,453891
20250319,087260,모바일어플라이언스,KOSDAQ,2025,2025,1990,2000,121417
20250319,214870,한울BnC,KOSDAQ,6920,6920,6920,6920,0
20250319,219420,링크제니시스,KOSDAQ,5710,5840,5620,5630,89486
20250319,053980,오상자이엘,KOSDAQ,3370,3400,3335,3400,29465
20250319,222110,팬젠,KOSDAQ,5000,5100,4950,5000,12262
20250319,024910,경창산업,KOSDAQ,1797,1809,1786,1800,34163
20250319,010170,대한광통신,KOSDAQ,605,610,585,587,800992
20250319,041460,한국전자인증,KOSDAQ,3350,3415,3325,3380,105491
20250319,373200,엑스플러스,KOSDAQ,703,725,689,715,1649149
20250319,037350,성도이엔지,KOSDAQ,4125,4165,4105,4140,20766
20250319,036000,예림당,KOSDAQ,2690,2840,2650,2780,321256
20250319,010240,흥국,KOSDAQ,5430,5430,5190,5190,42738
20250319,004590,한국가구,KOSDAQ,4215,4270,4215,4255,11719
20250319,064480,브리지텍,KOSDAQ,5320,5330,5190,5320,31264
20250319,043910,자연과환경,KOSDAQ,557,562,554,559,318015
20250319,148250,알엔투테크놀로지,KOSDAQ,8210,8300,7740,8240,64570
20250319,219750,한국비티비,KOSDAQ,967,967,967,967,0
20250319,066980,한성크린텍,KOSDAQ,1217,1242,1189,1218,247095
20250319,038070,서린바이오,KOSDAQ,7060,7220,7040,7090,45847
20250319,263050,유틸렉스,KOSDAQ,1741,1741,1709,1710,64279
